ip1,ip2,port1,port2,proto,pkts12,pkts21,bytes12,bytes21,etime,class,app,entity1,entity2,part1,part2,link_label
218.12.228.225,192.168.6.237,80,53305,6,4,5,1091,617,1525251632,8,237,218.12.228.225_80,192.168.6.237_53305,121,121,121_121
192.168.7.157,123.125.81.6,61965,53,17,1,1,68,112,1525251660,8,916,192.168.7.157_61965,123.125.81.6_53,9,9,9_9
192.168.7.246,218.11.2.115,36302,443,6,3,1,307,60,1525251651,7,250,192.168.7.246_36302,218.11.2.115_443,36,36,36_36
192.168.7.246,218.11.2.115,36304,443,6,3,1,307,60,1525251651,7,250,192.168.7.246_36304,218.11.2.115_443,36,36,36_36
192.168.7.246,218.11.2.115,36305,443,6,3,1,307,60,1525251651,7,250,192.168.7.246_36305,218.11.2.115_443,36,36,36_36
192.168.7.202,123.126.122.29,58836,443,6,3,1,661,52,1525251646,8,913,192.168.7.202_58836,123.126.122.29_443,123,123,123_123
192.168.7.219,202.106.0.20,53379,53,17,1,1,69,235,1525251660,8,916,192.168.7.219_53379,202.106.0.20_53,1,1,1_1
192.168.7.38,123.125.80.70,52047,80,6,5,4,666,552,1525251617,8,237,192.168.7.38_52047,123.125.80.70_80,124,124,124_124
192.168.7.187,111.221.29.254,3281,443,6,3,4,348,3939,1525251649,8,913,192.168.7.187_3281,111.221.29.254_443,125,125,125_125
192.168.7.25,123.125.52.211,57482,443,6,3,1,649,52,1525251641,8,913,192.168.7.25_57482,123.125.52.211_443,126,126,126_126
192.168.7.233,123.125.110.18,56212,443,6,3,1,365,60,1525251644,8,913,192.168.7.233_56212,123.125.110.18_443,127,127,127_127
192.168.7.220,119.29.29.29,51935,80,6,5,3,432,312,1525251637,8,237,192.168.7.220_51935,119.29.29.29_80,128,128,128_128
192.168.7.192,111.230.164.77,50067,443,6,2,1,609,52,1525251660,8,913,192.168.7.192_50067,111.230.164.77_443,129,129,129_129
192.168.7.186,13.78.94.7,9495,443,6,3,5,355,5696,1525251609,8,913,192.168.7.186_9495,13.78.94.7_443,8,8,8_8
192.168.7.233,123.125.9.36,37428,80,6,23,60,2436,85997,1525251645,8,237,192.168.7.233_37428,123.125.9.36_80,131,131,131_131
192.168.7.233,123.125.9.36,37430,80,6,38,62,3412,82358,1525251645,8,237,192.168.7.233_37430,123.125.9.36_80,131,131,131_131
192.168.7.233,123.125.9.36,37426,80,6,21,59,1820,80437,1525251645,8,237,192.168.7.233_37426,123.125.9.36_80,131,131,131_131
192.168.6.225,123.125.54.246,55587,80,6,5,4,831,562,1525251658,8,237,192.168.6.225_55587,123.125.54.246_80,132,132,132_132
192.168.7.233,111.206.25.152,35738,443,6,3,1,345,52,1525251641,8,913,192.168.7.233_35738,111.206.25.152_443,134,134,134_134
192.168.7.233,111.206.25.152,35750,443,6,3,1,345,52,1525251644,8,913,192.168.7.233_35750,111.206.25.152_443,134,134,134_134
192.168.7.116,202.106.0.20,54126,53,17,1,1,71,388,1525251659,8,916,192.168.7.116_54126,202.106.0.20_53,1,1,1_1
192.168.7.116,202.106.0.20,59384,53,17,1,1,61,375,1525251659,8,916,192.168.7.116_59384,202.106.0.20_53,1,1,1_1
192.168.1.112,202.106.0.20,59514,53,17,1,1,55,257,1525251659,8,916,192.168.1.112_59514,202.106.0.20_53,1,1,1_1
192.168.7.233,123.126.122.29,48268,80,6,5,4,1299,1185,1525251644,8,237,192.168.7.233_48268,123.126.122.29_80,135,135,135_135
192.168.7.220,106.11.53.98,35518,80,6,5,4,426,493,1525251646,8,237,192.168.7.220_35518,106.11.53.98_80,136,136,136_136
192.168.1.204,8.8.8.8,32748,53,17,1,1,59,110,1525251658,8,916,192.168.1.204_32748,8.8.8.8_53,4,4,4_4
192.168.7.147,202.106.0.20,55560,53,17,1,1,73,504,1525251660,8,916,192.168.7.147_55560,202.106.0.20_53,1,1,1_1
192.168.7.183,1.1.1.1,60475,53,17,5,0,285,0,1525251633,8,916,192.168.7.183_60475,1.1.1.1_53,54,54,54_54
192.168.7.157,111.206.76.31,52422,443,6,3,19,663,988,1525251635,8,913,192.168.7.157_52422,111.206.76.31_443,19,19,19_19
192.168.7.157,111.206.76.31,52423,443,6,3,19,663,988,1525251635,8,913,192.168.7.157_52423,111.206.76.31_443,19,19,19_19
192.168.7.157,111.206.76.31,52424,443,6,2,21,92,1220,1525251635,8,913,192.168.7.157_52424,111.206.76.31_443,19,19,19_19
192.168.7.116,122.193.207.31,10206,80,6,4,4,405,399,1525251608,8,237,192.168.7.116_10206,122.193.207.31_80,71,71,71_71
